Código,NOMBRE DE LUGAR POBLADO,C1,C2
20105007,HACIENDA LA ISTMEÑA,1,0
20105008,LA CALETA,39,17
20105009,LA ISLETA,6,0
20105011,LOS INDIOS O PUNTA PIEDRA,37,12
20105012,LAS PALMILLAS,4,0
20106001,ALTAMIRA,9,7
20106002,COTAVA ABAJO,29,80
20106003,COTAVA ARRIBA,19,46
20106004,EL BARRERO,196,632
20106005,EL ESTERO DE SAN JOSÉ (P),2,1
20106006,EL JAGÜITO,353,847
20106007,FINCA LA PANELA,2,3
20106008,HATO DE SAN ANTONIO,149,359
20106009,INGENIO SANTA ROSA,20,27
20106010,LA CHAPA,3,4
20106011,LA CRUZ,5,14
20106012,LA LUCÍA,8,16
20106013,LLANO SÁNCHEZ,283,671
20106014,LLANO SANTO,120,344
20106015,SALITROSA (P),331,791
20106016,VISTA HERMOSA,87,211
20106017,FINCA COCOBO,2,2
20107001,BARRIADA LOS SANTEÑOS,23,40
20107002,CERRO MORADO,74,229
20107003,LAS MINERAS (P),141,358
20107004,POCRÍ (P),2110,6621
20107005,RESIDENCIAL LA LIBERTAD,308,628
20107006,RESIDENCIAL CERRO MORADO,12,14
20108001,CERRO GORDO,55,142
20108002,EL BARRERO,8,9
20108003,EL HATO DE SAN JUAN DE DIOS,166,545
20108004,EL MONO,12,32
20108005,EL NÍSPERO,2,0
20108006,EL PICACHO (P),2,0
20108007,EL PINZÓN,51,89
20108008,LA COLORADA,2,0
20108009,LA CORTADERA,2,0
20108010,LA LOMA DE LOS GONZÁLEZ,81,152
20108011,LA TINAJA,4,6
20108012,LAS MIELES (P),2,5
20108013,LOS CALLEJONES,19,26
20108014,LOS RINCONES,67,139
20108015,LOS VOLCANES (P),80,239
20201001,ANTÓN,2856,6923
20201002,BIJAGUAL,312,1064
20201003,BOCA NUEVA,13,1
20201004,CALLE LARGA,225,664
20201005,CIÉNAGA VIEJA,190,347
20201008,GUABAS ARRIBA,312,688
20201009,LA HINCADA,183,324
20201010,LOS AZULES,36,8
20201011,LOS PANTANOS,129,419
20201012,LLANO MIRADOR,43,63
20201013,LA CAMARONERA,1,2
20201014,FINCA EL GUAYABO,2,5
20201015,CAMARONERA LA FE,1,1
20201016,FINCA EL GUINEO (P),3,1
20201017,FINCA DESARROLLO LA FE,1,1
20201019,EL ROBLITO,12,25
20201020,HACIENDA SENDERO DEL VALLE,70,28
20201021,URBANIZACIÓN HACIENDA EL MIRADOR,109,147
20202001,AGUACATE,4,3
20202003,BAJO DE LA CRUZ,8,21
20202004,BARRANQUILLA,38,97
20202006,CABUYA,40,87
20202008,EL CIRUELITO,9,12
20202010,EL GUANÁBANO,11,15
20202011,EL HIGO,36,79
20202012,EL MACANITO,50,74
20202013,EL MACANO O MACANO ABAJO,6,21
20202014,EL NANCITO,24,45
20202015,EL QUIRA,55,92
20202016,LA LAGUNA,28,81
20202017,LOMA LARGA,38,56
20202019,LA PALMA,44,113
20202020,LA PIÑUELA,9,23
20202021,LA PITA,27,97
20202022,LA ZAMBA,2,3
20202023,LAS GUÍAS,2,7
20202024,LAS MATEAS,1,1
20202025,LOS ALONSOS,6,10
20202026,LOS ALVEOS,78,199
20202027,LOS CORRALES,39,79
20202029,LOS PINTOS,10,25
20202031,LOS SÁNCHEZ,10,17
